,WEAT,Performance Gap,Metric,Test,Embedding,Name
0,1.2286278,0.16899999999999993,Precision,7,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
1,1.2286278,0.21599999999999997,Recall,7,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
2,0.5711093,0.20599999999999996,Precision,8,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
3,0.5711093,0.251,Recall,8,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
4,-0.7903468,0.19299999999999995,Precision,es1,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
5,-0.7903468,0.20999999999999996,Recall,es1,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
6,-0.21522269,0.17799999999999994,Precision,es2,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
7,-0.21522269,0.20099999999999996,Recall,es2,word2vec,w2v_all_tweets_processed_es.tsv.vectors.vectors
8,-0.6723294,0.18699999999999994,Precision,es1,word2vec,w2v_twitter_es_debias_gender_es.txt.vectors.vectors
9,-0.6723294,0.19099999999999995,Recall,es1,word2vec,w2v_twitter_es_debias_gender_es.txt.vectors.vectors
10,-0.9771161,0.18299999999999994,Precision,es1,word2vec,w2v_twitter_es_debias_max_gender_es.txt.vectors.vectors
11,-0.9771161,0.19599999999999995,Recall,es1,word2vec,w2v_twitter_es_debias_max_gender_es.txt.vectors.vectors
12,-0.5741302,0.17799999999999994,Precision,es1,word2vec,w2v_twitter_es_overbias_gender_es.txt.vectors.vectors
13,-0.5741302,0.18999999999999995,Recall,es1,word2vec,w2v_twitter_es_overbias_gender_es.txt.vectors.vectors
14,-0.12468273,0.18699999999999994,Precision,es2,word2vec,w2v_twitter_es_debias_migrant_es.txt.vectors.vectors
15,-0.12468273,0.21599999999999997,Recall,es2,word2vec,w2v_twitter_es_debias_migrant_es.txt.vectors.vectors
16,-0.26174006,0.16999999999999993,Precision,es2,word2vec,w2v_twitter_es_debias_max_migrant_es.txt.vectors.vectors
17,-0.26174006,0.17399999999999993,Recall,es2,word2vec,w2v_twitter_es_debias_max_migrant_es.txt.vectors.vectors
18,-0.2965303,0.16299999999999992,Precision,es2,word2vec,w2v_twitter_es_overbias_migrant_es.txt.vectors.vectors
19,-0.2965303,0.20399999999999996,Recall,es2,word2vec,w2v_twitter_es_overbias_migrant_es.txt.vectors.vectors
20,1.2688255,0.18399999999999994,Precision,7,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
21,1.2688255,0.21799999999999997,Recall,7,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
22,-0.14154133,0.19599999999999995,Precision,8,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
23,-0.14154133,0.21599999999999997,Recall,8,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
24,-0.821103,0.21399999999999997,Precision,es1,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
25,-0.821103,0.23299999999999998,Recall,es1,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
26,-0.3915572,0.17999999999999994,Precision,es2,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
27,-0.3915572,0.20099999999999996,Recall,es2,fastText,fasttext_all_tweets_processed_es.tsv.vectors.vectors
28,-0.84980005,0.18499999999999994,Precision,es1,fastText,fasttext_twitter_es_debias_gender_es.txt.vectors.vectors
29,-0.84980005,0.21599999999999997,Recall,es1,fastText,fasttext_twitter_es_debias_gender_es.txt.vectors.vectors
30,-0.98807335,0.17899999999999994,Precision,es1,fastText,fasttext_twitter_es_debias_max_gender_es.txt.vectors.vectors
31,-0.98807335,0.22399999999999998,Recall,es1,fastText,fasttext_twitter_es_debias_max_gender_es.txt.vectors.vectors
32,-0.48840538,0.15500000000000003,Precision,es1,fastText,fasttext_twitter_es_overbias_gender_es.txt.vectors.vectors
33,-0.48840538,0.19599999999999995,Recall,es1,fastText,fasttext_twitter_es_overbias_gender_es.txt.vectors.vectors
34,-0.2515561,0.18499999999999994,Precision,es2,fastText,fasttext_twitter_es_debias_migrant_es.txt.vectors.vectors
35,-0.2515561,0.20999999999999996,Recall,es2,fastText,fasttext_twitter_es_debias_migrant_es.txt.vectors.vectors
36,-0.65935695,0.19599999999999995,Precision,es2,fastText,fasttext_twitter_es_debias_max_migrant_es.txt.vectors.vectors
37,-0.65935695,0.22399999999999998,Recall,es2,fastText,fasttext_twitter_es_debias_max_migrant_es.txt.vectors.vectors
38,-0.5949815,0.18899999999999995,Precision,es2,fastText,fasttext_twitter_es_overbias_migrant_es.txt.vectors.vectors
39,-0.5949815,0.19899999999999995,Recall,es2,fastText,fasttext_twitter_es_overbias_migrant_es.txt.vectors.vectors
